"행정구역","2026년07월_거주자_총인구수","2026년07월_거주자_연령구간인구수","2026년07월_거주자_0~9세","2026년07월_거주자_10~19세","2026년07월_거주자_20~29세","2026년07월_거주자_30~39세","2026년07월_거주자_40~49세","2026년07월_거주자_50~59세","2026년07월_거주자_60~69세","2026년07월_거주자_70~79세","2026년07월_거주자_80~89세","2026년07월_거주자_90~99세","2026년07월_거주자_100세 이상","2026년07월_남_거주자_총인구수","2026년07월_남_거주자_연령구간인구수","2026년07월_남_거주자_0~9세","2026년07월_남_거주자_10~19세","2026년07월_남_거주자_20~29세","2026년07월_남_거주자_30~39세","2026년07월_남_거주자_40~49세","2026년07월_남_거주자_50~59세","2026년07월_남_거주자_60~69세","2026년07월_남_거주자_70~79세","2026년07월_남_거주자_80~89세","2026년07월_남_거주자_90~99세","2026년07월_남_거주자_100세 이상","2026년07월_여_거주자_총인구수","2026년07월_여_거주자_연령구간인구수","2026년07월_여_거주자_0~9세","2026년07월_여_거주자_10~19세","2026년07월_여_거주자_20~29세","2026년07월_여_거주자_30~39세","2026년07월_여_거주자_40~49세","2026년07월_여_거주자_50~59세","2026년07월_여_거주자_60~69세","2026년07월_여_거주자_70~79세","2026년07월_여_거주자_80~89세","2026년07월_여_거주자_90~99세","2026년07월_여_거주자_100세 이상"
"전남광주통합특별시 해남군 (1279000000)","61,877","61,877","2,404","4,235","4,079","3,963","6,185","10,110","13,446","9,863","6,391","1,174","27","31,169","31,169","1,255","2,146","2,331","2,197","3,364","5,705","7,171","4,582","2,193","223","2","30,708","30,708","1,149","2,089","1,748","1,766","2,821","4,405","6,275","5,281","4,198","951","25"
"전남광주통합특별시 영암군 (1280000000)","49,906","49,906","1,923","3,747","3,938","3,711","6,071","9,005","9,968","6,451","4,199","870","23","26,360","26,360","970","1,925","2,404","2,075","3,569","5,255","5,547","3,053","1,370","186","6","23,546","23,546","953","1,822","1,534","1,636","2,502","3,750","4,421","3,398","2,829","684","17"
"전남광주통합특별시 무안군 (1281000000)","95,441","95,441","7,220","10,997","9,070","11,305","15,053","14,270","13,308","8,551","4,798","847","22","47,966","47,966","3,684","5,560","4,905","5,633","7,686","7,695","6,949","4,063","1,626","164","1","47,475","47,475","3,536","5,437","4,165","5,672","7,367","6,575","6,359","4,488","3,172","683","21"
"전남광주통합특별시 함평군 (1282000000)","29,576","29,576","910","1,697","1,795","1,866","2,598","4,820","6,669","4,920","3,572","712","17","15,123","15,123","474","885","1,027","1,030","1,491","2,847","3,739","2,339","1,140","151","0","14,453","14,453","436","812","768","836","1,107","1,973","2,930","2,581","2,432","561","17"
"전남광주통합특별시 영광군 (1283000000)","53,655","53,655","3,296","3,885","4,377","5,103","5,978","8,557","9,850","7,210","4,570","811","18","26,891","26,891","1,636","1,994","2,393","2,596","3,278","4,834","5,180","3,319","1,495","164","2","26,764","26,764","1,660","1,891","1,984","2,507","2,700","3,723","4,670","3,891","3,075","647","16"
"전남광주통합특별시 장성군 (1284000000)","43,047","43,047","1,875","3,003","3,326","3,439","4,502","7,192","8,801","6,161","3,930","802","16","22,109","22,109","949","1,531","1,967","1,794","2,435","4,048","4,852","2,992","1,357","181","3","20,938","20,938","926","1,472","1,359","1,645","2,067","3,144","3,949","3,169","2,573","621","13"
"전남광주통합특별시 완도군 (1285000000)","43,997","43,997","1,863","3,138","2,618","2,678","5,006","6,947","9,021","7,058","4,810","838","20","22,375","22,375","970","1,662","1,509","1,505","2,863","4,019","4,662","3,345","1,659","178","3","21,622","21,622","893","1,476","1,109","1,173","2,143","2,928","4,359","3,713","3,151","660","17"
"전남광주통합특별시 진도군 (1286000000)","27,770","27,770","1,058","1,913","1,831","1,757","2,744","4,426","5,970","4,326","3,161","574","10","14,025","14,025","495","992","1,074","942","1,572","2,578","3,180","2,080","991","119","2","13,745","13,745","563","921","757","815","1,172","1,848","2,790","2,246","2,170","455","8"
"전남광주통합특별시 신안군 (1287000000)","42,305","42,305","1,404","2,712","2,814","2,540","4,349","7,252","9,699","6,520","4,228","768","19","22,754","22,754","735","1,396","1,618","1,499","2,667","4,441","5,459","3,331","1,462","145","1","19,551","19,551","669","1,316","1,196","1,041","1,682","2,811","4,240","3,189","2,766","623","18"
"부산광역시  (2600000000)","3,218,024","3,218,024","164,761","265,643","328,068","387,306","453,144","518,782","547,756","375,888","154,246","21,973","457","1,562,391","1,562,391","84,364","135,799","166,929","200,220","229,328","254,545","257,411","168,404","59,929","5,408","54","1,655,633","1,655,633","80,397","129,844","161,139","187,086","223,816","264,237","290,345","207,484","94,317","16,565","403"
"부산광역시 중구 (2611000000)","35,926","35,926","593","1,489","4,574","3,936","3,753","5,715","7,127","5,733","2,640","356","10","17,392","17,392","324","722","2,123","2,166","2,027","3,020","3,429","2,499","989","92","1","18,534","18,534","269","767","2,451","1,770","1,726","2,695","3,698","3,234","1,651","264","9"
"부산광역시 서구 (2614000000)","100,548","100,548","3,952","7,017","10,343","10,022","12,323","16,083","18,655","14,445","6,702","981","25","48,088","48,088","2,030","3,632","4,925","5,114","6,276","8,212","8,853","6,311","2,495","236","4","52,460","52,460","1,922","3,385","5,418","4,908","6,047","7,871","9,802","8,134","4,207","745","21"
"부산광역시 동구 (2617000000)","82,664","82,664","3,321","4,468","7,709","10,541","10,293","13,125","14,785","11,831","5,716","859","16","40,157","40,157","1,729","2,259","3,632","5,536","5,514","6,878","7,202","5,135","2,066","205","1","42,507","42,507","1,592","2,209","4,077","5,005","4,779","6,247","7,583","6,696","3,650","654","15"
"부산광역시 영도구 (2620000000)","99,965","99,965","3,379","6,223","8,438","8,681","11,668","16,303","20,121","16,594","7,557","986","15","49,033","49,033","1,729","3,240","4,689","4,674","6,128","8,387","9,819","7,319","2,792","256","0","50,932","50,932","1,650","2,983","3,749","4,007","5,540","7,916","10,302","9,275","4,765","730","15"
"부산광역시 부산진구 (2623000000)","362,704","362,704","18,073","24,533","45,347","54,166","48,480","54,933","58,161","39,710","16,917","2,335","49","173,005","173,005","9,208","12,236","21,045","27,428","24,689","26,827","26,897","17,632","6,436","604","3","189,699","189,699","8,865","12,297","24,302","26,738","23,791","28,106","31,264","22,078","10,481","1,731","46"
"부산광역시 동래구 (2626000000)","269,843","269,843","16,566","26,395","24,749","31,518","41,796","43,436","41,989","29,888","11,779","1,698","29","129,676","129,676","8,447","13,691","12,555","15,729","20,512","21,086","19,136","13,204","4,860","454","2","140,167","140,167","8,119","12,704","12,194","15,789","21,284","22,350","22,853","16,684","6,919","1,244","27"
"부산광역시 남구 (2629000000)","253,781","253,781","12,456","22,356","30,360","28,224","34,899","41,275","39,812","29,603","12,995","1,773","28","123,142","123,142","6,438","11,391","15,863","14,571","17,403","20,398","18,444","12,978","5,199","453","4","130,639","130,639","6,018","10,965","14,497","13,653","17,496","20,877","21,368","16,625","7,796","1,320","24"
"부산광역시 북구 (2632000000)","259,676","259,676","12,715","20,085","23,678","31,070","33,118","44,130","51,882","30,181","11,195","1,585","37","127,105","127,105","6,567","10,347","12,634","16,417","16,968","20,752","24,776","14,009","4,276","357","2","132,571","132,571","6,148","9,738","11,044","14,653","16,150","23,378","27,106","16,172","6,919","1,228","35"
"부산광역시 해운대구 (2635000000)","368,271","368,271","19,607","34,595","34,222","41,010","54,406","64,456","61,461","39,411","16,522","2,532","49","176,016","176,016","10,026","17,840","17,708","20,596","26,244","30,377","28,622","17,690","6,252","648","13","192,255","192,255","9,581","16,755","16,514","20,414","28,162","34,079","32,839","21,721","10,270","1,884","36"
